crime_type,location,time
Disturbance,Epstein Family Amphitheater,2:49 PM
Petty Theft,Geisel Library,2:00 PM - 2:50 PM
Citizen Contact,UCSD Police Department,3:27 PM
Campus Security Authority Report (CSA),UCSD Medical Center - Hillcrest,3:45 PM
Informational Report,Geisel Library On Hopkins Drive,3:17 PM
Welfare Check,Thurgood Marshall Residence Hall,5:16 PM
Medical Aid,Veterans Affairs Medical Center,5:31 PM
Shoplifting,Price Center West - Target,6:11 PM - 6:15 PM
Welfare Check,"54th Street, San Diego, California",7:50 PM
Injury,Warren Field,8:22 PM
Mental Health Detention,UCSD Residential Area,8:29 PM
Incomplete/ Accidental Landline 911 Call,Brisa,8:39 PM
Welfare Check,Regents Road,9:18 PM
Found Property,Trolley- Central Campus Station On Innovation Lane,10:18 PM
Citizen Flagdown,Trolley- Central Campus Station On Innovation Lane,10:33 PM
Quiet Hours Contact,TDLLN - Pulse,10:34 PM
Noise Disturbance,Cala,10:48 PM
Incomplete/ Accidental Landline 911 Call,Tapestry,11:30 PM
Noise Disturbance,Stewart Hall,11:31 PM
Medical Aid,Regents On Regents Road,11:39 PM
Noise Disturbance,TDLLN - Pulse,11:40 PM
Security Alarm,La Jolla Playhouse,12:43 AM
Noise Disturbance,Cala,3:32 AM
Medical Aid,The Springs at Pacific Regents on Nobel,4:08 AM
Mental Health Detention,Trolley - Central Campus Station,4:57 AM - 5:37 AM
Smoke Check,Douglas Hall,5:22 AM
Vandalism,Trolley - La Jolla Health Station,
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,8:33 AM
Suspicious Person,Social Sciences Research Building,9:56 AM
Hit & Run Collision: Non Injury,Stephen Birch Aquarium,10:30 AM - 12:30 PM
Injury,Catalyst,11:01 AM
Hit & Run Collision: Non Injury,Lot 760,10:00 AM - 11:39 AM
Information,Torrey Pines Lane/Torrey Pines Road,12:11 PM
Suspicious Person,South Mesa Apartments,12:25 PM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,1:25 PM
Information,Seventh College East #5,2:20 PM
Welfare Check,Torrey Pines Gliderport,2:25 PM
Excessive Alcohol: Public Over intoxication,Rimac,2:25 PM
Ticket Sign Off,UCSD Police Department,3:47 PM
Incomplete/Accidental Landline 911 Call,Capa,4:01 PM
Injury,York Hall,4:38 PM
Injury,Structural and Material Engineering Bldg.,4:38 PM
Medical Aid,Seventh College West #2,4:44 PM
Hit & Run Collision: Non Injury,Parking Lot P703,5:32 PM
Report of Battery,Nobel Drive/Regents Road,5:40 PM
Welfare Check,Catalyst,5:51 PM
Fire Alarm,Azad,5:59 PM
Fire Alarm,Survivance,6:49 PM
Incomplete/Accidental Landline 911 Call,Viento,8:09 PM
Incomplete/Accidental Landline 911 Call,Tapestry,8:18 PM
Triton CORE,Rita Atkinson Residences,8:56 PM
Incomplete/Accidental Landline 911 Call,Mosaic,10:16 PM
Disturbance - Party,Genesee Avenue,10:19 PM
Citizen Contact,Rita Atkinson Residences,10:23 PM
Alcohol Contact,Geneva Hall,11:16 PM
Trespass,Pepper Canyon Hall,11:56 PM
Reckless Driving,Pangea Parking Structure,11:56 PM
Threat,UCSD Hillcrest,7:23 PM
Quiet Hours Contact,Tdlln - Pulse,12:00 AM
Incomplete/Accidental Wireless 911 Call,Poole St,12:05 AM
Incomplete/Accidental Landline 911 Call,Scholars Parking,12:33 AM
Noise Disturbance,Gilman Parking,12:54 AM
Noise Disturbance,Earth Hall,1:08 AM
Suspicious Person,Street Corner Urban Market,1:16 AM
Welfare Check,Trolley - La Jolla Health Station,7:13 AM
Citizen Contact,UCSD Police Department,8:25 AM
Petty Theft - Micro Mobility Device,Europe Hall,8:10AM-8:10AM
Welfare Check,Design and Innovation Building,8:38 AM
Petty Theft,School of Medicine,4:00PM-9:00AM
Information,Preuss School,10:05 AM
Found Property,School of Medicine,10:10AM
Non-Injury Collision,Veterans Affairs Medical Center,10:55 AM
Welfare Check,South Parking Structure,12:25 PM
Incomplete/Accidental Landline 911 Call,Scholars Drive - North,12:44 PM
Unknown Trouble,Rita Atkinson Residences,12:55 PM
Information,Geisel Library,1:30 PM
Shoplifting/ Simple Battery/ Stay Away Order Issuance,Flavorful,1:52 PM
Property Damage,Athena Parking,3:00PM-12:00AM
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,3:18 PM
Incomplete/Accidental Landline 911 Call,Scholars Parking,4:57 PM
Incomplete/Accidental Landline 911 Call,Mosaic,5:16 PM
Information,Belmont Senior Village,6:50 PM
Incomplete/Accidental Wireless 911 Call,Nobel Drive,7:04 PM
Disturbance - Vehicle,Porton,9:23 PM
Trespass,Burger King,11:25 PM
Noise Disturbance,Argo Hall,11:52 PM
Assist Other Agency,UCSD Hillcrest Hospital,12:55 AM
Quiet Hours Contact,Muir Tennis Courts,1:24 AM
Citizen Assist,Porton,3:50 AM
Noise Disturbance,Pulse,4:05 AM
Welfare Check,Marea,4:23 AM
Vandalism,Stein Clinical Research Building,Unknown
Unknown Injury Collision,Mobil Station,8:29 AM
Medical Aid,Argo Hall,10:16 AM
Incomplete/Accidental Landline 911 Call,Catalyst,11:49 AM
Noise Disturbance,Artesa,1:25 PM
Preserve the Peace,South Mesa Apartments,1:41 PM
Suspicious Person,Torrey Pines Center South,3:20 PM
Injury,Latin America Hall,4:45 PM
Citizen Contact,UCSD Police Department,4:55 PM
Injury,Black Gold Road,5:31 PM
Report of Grand Theft,Computer Science and Engineering Building,3:40 PM
Missing Person,UCSD Residential Area,6:00 PM
Incomplete/Accidental Wireless 911 Call,Seventh College West #3,6:22 PM
Security Alarm,Leichtag Biomedical Bldg.,6:58 PM
Citizen Assist,TDLLN - Podemos,9:31 PM
Noise Disturbance,Gilman Parking Structure,9:33 PM
Noise Disturbance,Middle East Hall,11:45 PM
Marijuana Contact,Marshall Upper Apartments K,11:53 PM
Petty Theft - Bicycle,Catalyst,2:00 PM
Fire Alarm,Podemos,12:01 AM
Property Damage,Parking Lot P418,Unknown
Quiet Hours Contact,Pulse - Basketball Courts,12:30 AM
Quiet Hours Contact,Brisa,2:49 AM
Petty Theft Report -Micro Mobility Device,Beagle Hall,3:00 PM - 2:00 PM
Security Alarm,Biomedical Sciences Building,11:09 AM
Lost Property,Downtown San Diego,12:12 PM
Minor Injury Collision,North Torrey Pines Road,3:39 PM
Suspicious Person,Target- PC West,5:33 PM
Fire Alarm,Tapestry On Scholars Drive North,6:33 PM
Fire Alarm,Kaleidoscope,6:35 PM
Medical Aid,Trolley-Central Campus Station,6:47 PM
Illegal Camping,Urban Market,7:18 PM
Medical Aid,South Pacific Street,8:24 PM
Incomplete/ Accidental Landline 911 Call,Kaleidoscope,8:27 PM
Fire Alarm,Europe Hall,8:54 PM
Suspicious Person,Tamarack Ave,9:03 PM
Disturbance - Party,Cuzco House,9:35 PM
Illegal Parking,SIO,9:45 PM
UC Policy Violation,Thurgood Marshall Residence Hall,10:28 PM
Suspicious Vehicle,Visual Arts Facility,10:36 PM
Marijuana Contact,Tapestry,10:54 PM
Drunk In Public / False Identification,Seventh College East,11:20 PM
Disturbance - Party,Viento on Miramar Street,12:15 AM
Welfare Check,Pepper Canyon Apartments,12:23 AM
Party Disturbance,Latin America Hall,12:53 AM
Noise Disturbance,Tapestry on Scholars,1:47 AM
Fire Alarm,Oceanview Terrace,1:51 AM
Information/ Found Property Report,Oceanview Terrace,2:01AM-2:28AM
Welfare Check,Trolley - La Jolla Health Station,2:40AM-3:30AM
Security Alarm,Central Utilities Building Telecom,5:39 AM
Incomplete/Accidental Wireless 911 Call,Douglas Apartments,8:36 AM
Mental Health Detention,UCSD Residential Area,9:48 AM
Disturbance,Interstate 5,9:51 AM
Medical Aid,Robinson Building 2,10:55AM
Disturbance,UC San Diego Health Urgent Care,12:06 PM
Missing Person,Mesa Apartments - South,1:19 PM
Vandalism,Bonner Hall,7:00PM-2:00PM
Petty Theft,La Jolla Del Sol Apartments,9:00PM-10:00AM
Incomplete/Accidental Wireless 911 Call,Viento on Miramar Street,4:15 PM
Welfare Check,Seventh College,4:21 PM
Welfare Check,Trolley - La Jolla Health Station,4:24 PM
Incomplete/Accidental Landline 911 Call,Tapestry on Scholars,4:27 PM
Information,Foodworx on Innovation Lane,6:33 PM
Welfare Check,La Jolla Family House,7:33 PM
Chemical Spill,Rimac,8:22 PM
Fire Alarm,North America Hall,9:17 PM
Incomplete/Accidental Landline 911 Call,Viento on Miramar Street,9:34 PM
Incomplete/Accidental Wireless 911 Call,Piedra on Miramar Street,9:38 PM
Medical Aid,Holiday Court,11:44 PM
Medical Aid,Tuolumne Apartments,12:28 AM
Medical Aid,Keeneland Row,2:33 AM
Suspicious Person,Villa La Jolla Drive,8:13 AM
Found Property,Library Walk,9:04 AM
Information,UCSD Police Department,9:05 AM
Incomplete/Accidental Wireless 911 Call,Douglas Apartments,9:32 AM
Collision with Injury,Matthews Maintenance & Lounge,10:45 AM
Hit & Run Collision: Non Injury,North Torrey Pines Road,11:35 AM
Property Damage,Hubbs Hall,2:45 PM - 6:00 PM
Welfare Check,Villa La Jolla Drive,11:52 AM
Incomplete/Accidental Landline 911 Call,The Jeannie,11:54 AM
Property Damage,Trolley - Central Campus Station,12:00 PM - 12:05 PM
Violation of Parole Arrest/ Stay Away Order Issuance,Design & Innovation Building,12:14 PM
Incomplete/Accidental Wireless 911 Call,Holiday Court,1:12 PM
Incomplete/Accidental Wireless 911 Call,Kaleidoscope,1:14 PM
Incomplete/Accidental Wireless 911 Call,Russell Walk/Lyman Walk,1:16 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,1:23 PM
Vandalism,Gilman Drive/Genesee Avenue,Unknown
Vehicle Burglary,Parking Lot P752,11:08 AM - 1:42 PM
Hazard Situation,Structural & Material Engineering Building,2:07 PM
Illegal Parking,Structural & Material Engineering Building,2:27 PM
Medical Aid,Rebecca and John Moores Cancer Center,2:59 PM
Welfare Check,Trolley - Central Campus Station,3:00 PM
Welfare Check,Luneta Drive,3:25 PM
Grand Theft - Micro Mobility Device,La Jolla Village Drive,3:28 AM - 2:32 PM
Vandalism,TDLLN - Pulse,4:07 PM
Medical Aid,Rebecca and John Moores Cancer Center,4:11 PM
Hit & Run Collision: Non Injury,Athena Parking,7:20 AM - 6:00 PM
Medical Aid,F Street,4:38 PM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,5:56 PM
Welfare Check,Jacobs Medical Center,9:02 PM
Noise Disturbance,Artesa,10:46 PM
Medical Aid,Scripps Memorial Hospital,10:55 PM
Welfare Check,Main Gymnasium,11:05 PM
Incomplete/Accidental Landline 911 Call,Mosaic,11:13 PM
Verbal Threats,UCSD Medical Center - East Campus,11:10 PM
Assault,UCSD Medical Center - Hillcrest,11:10 AM
Theft,Jacobs Medical Center,3:16 PM
Noise Disturbance,Seventh College - West,12:00 AM
Psych Disturbance,Villa La Jolla Drive,1:15AM-1:25AM
Noise Disturbance,Cresta on Miramar St,4:05 AM
Welfare Check,Trolley - La Jolla Health Station,6:26 AM
Report of Hit and Run - No Injuries,Torrey Pines Center North,7:30 AM - 10:00 AM
Unknown Injury Accident,Interstate 5 Northbound,8:11 AM
Report of Vandalism,Trolley - La Jolla Heath Station,Unknown
Disturbance,Epstien Family Amphitheater,10:26 AM
Animal Call,Franklin Antonio Hall,10:27 AM
Suspicious Vehicle,South Mesa Apartments,10:31 AM
Preserve the Peace,Biomedical Sciences Building,10:55 AM
Incomplete/Accidental Landline 911,Brisa,11:13 AM
Fire Alarm,Charles David Keeling Apartments 2,11:29 AM
Non-Injury Accident Report,Campus Services Complex Pumps,2:30 PM
Citizen Contact,Galbraith Hall,1:58 PM
Medical Aid,Brisa,2:06 PM
Unknown Injury Accident,La Jolla Village Drive,3:00 PM
Injury,Trolley - La Jolla Health Station,3:33 PM
Citizen Contact,Coast Apartments,3:59 PM
Citizen Assist,Applied Physics and Mathematics,4:46 PM
Fire Alarm,Azad,5:39 PM
Assist Other Agency,Trolley - Central Campus Station,6:24 PM
Report of Petty Theft,Trolley - Central Campus Station,7:00 PM - 8:00 PM
Information,Campus Emergency Services Building,7:54 PM
Noise Disturbance,Mesa Verde Hall,7:57 PM
Incomplete/Accidental Landline 911,Astilla,8:50 PM
Welfare Check,Catalyst,9:04 PM
Burglary Alarm,Central Utilities Building Telecom,9:18 PM
Burglary Alarm,Biomedical Sciences Building,9:18 PM
Incomplete/Accidental Landline 911,Viento,9:24 PM
Information,Piedra,9:38 PM
Citizen Contact,Cala,10:03 PM
Noise Disturbance,Catalyst,11:35 PM
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,11:00 AM - 12:30 PM
Campus Security Authority Report (CSA),UCSD Campus,5:20 PM - 5:20 PM
Noise Disturbance,Cala on Miramar St,4:07 AM
Information,East Campus Utilities Plant,6:24 AM
Medical Aid,Cala on Miramar St,7:32 AM
Preserve the Peace,Trolley - Central Campus Station,10:09 AM
General Disturbance,Rubicon,10:19 AM
Citizen Contact,Geisel Library,11:21 AM
Suicide,Geisel Library,11:35 AM
Medical Aid,Koman Family Outpatient Pavilion,12:40 PM
Medical Aid,Moore's Cancer Center,1:20 PM
Welfare Check,Seventh College - West,2:11 PM
Incomplete/Accidental Wireless 911 Call,Design and Innovation Building,3:23 PM
Hit and Run - No Injuries,North Torrey Pines Road,3:30 PM
Psych Referral,Galbraith Hall,3:34 PM
Medical Aid,Neptune Avenue,3:44 PM
Suspicious Vehicle,Greenhouse Lane,4:28 PM
Minor Injury Accident,North Torrey Pines Road,4:51 PM
Suspicious Circumstances,Tuolumne Apartments,5:31 PM
Fire Alarm,Tdlln - Sankofa,6:28 PM
Suicide Attempt,South Parking Structure,6:56 PM
Noise Disturbance,One Miramar Street,7:33 PM
Medical Aid,Moore's Cancer Center,7:47 PM
Information,Shank Theatre,8:02 PM
Information,Vela on Gilman Drive,8:07 PM
General Disturbance,Moore's Cancer Center,8:09 PM
Noise Disturbance,One Miramar Street,8:37 PM
Noise Disturbance,Cala on Miramar St,10:40 PM
Traffic Hazard,La Jolla Village Drive,11:04 PM
Noise Disturbance,Matthews Apartments,11:42 PM
Medical Aid,Tenaya Hall,11:58 PM
Noise Disturbance,Seventh College East,1:13 AM
Campus Security Authority Report (CSA),Jacobs Medical Center,12:18 AM
Hit & Run No Injuries,Hopkins Parking,8:00 AM - 9:45 PM
Pedestrian Stop,Trolley- Central Station,9:09 AM
Non Injury Collision,School of Medicine Building 3,8:30 AM
Petty Theft,Target,7:53 PM
Grand Theft,Receiving And Distribution On Trade Street,Unknown
Incomplete/ Accidental Wireless 911 Call,Geisel Library,10:22 AM
Welfare Check,Design And Innovation Building,1:58 PM
Incomplete/ Accidental Wireless 911 Call,Russell Lane/ Gilman Drive,2:21 PM
Non- Participating Report,"La Mesa, California",Unknown
Petty Theft,Asia Hall,8:00 AM - 2:00 PM
Citizen Assist,Applied Physics & Mathematics,3:25 PM
Grand Theft,Geisel Library,3:56 PM
General Disturbance,Africa Hall,5:21 PM
Report Of Gang Or Terrorist Threat,Trolley- La Jolla Health Station,4:45 PM
Reckless Driving,Ola Parking,5:39 PM
Preserve The Peace,Rya On Gilman Drive,5:52 PM
Petty Theft,Pepper Canyon Hall,6:10 PM
Citizen Contact,Middle Earth On Scholars Drive North,7:38 PM
Injury,Gilman Drive/ La Jolla Village Drive Ramp,7:57 PM
Citizen Flag down,La Jolla Scenic Way/ La Jolla Village Drive,8:05 PM
Incomplete/ Accidental Landline 911 Call,Scholars Parking Lot,8:08 PM
Welfare Check,Center For Neutral Circuits & Behavior,8:49 PM
Incomplete/ Accidental Landline 911 Call,Brisa On Miramar Street,9:51 PM
Noise Disturbance,Cala On Miramar Street,10:07 PM
Incomplete/ Accidental Wireless 911 Call,Podemos,10:40 PM
Illegal Camping,Parking Lot 406,10:43 PM
Information Only,Rita Atkinson Residences,12:08AM-12:46AM
Noise Disturbance,Blake Hall,12:28 AM
Citizen Contact,Marshall Residential Life,3:46 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope on Scholars Dr,4:15 AM
Suspicious Person,Medical Education and Telemedicine,11:11 AM
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,11:15AM-11:40AM
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,12:09 PM
Incomplete/Accidental Landline 911 Call,Ridge walk Academic,1:37 PM
Suspicious Person,Center Hall,3:15PM
Incomplete/Accidental Wireless 911 Call,Parking Lot P508,3:35 PM
Missing Person,Tdlln - Sankofa,4:30 PM
Sexual Battery,Trolley - Central Campus Station,4:32 PM
Petty Theft,Matthews Apartments,4:35 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,4:36 PM
Suspicious Vehicle,Mesa Apartments South,5:24 PM
Preserve the Peace,Rya on Gilman,6:01 PM
Noise Disturbance,Epstein Family Amphitheater,7:17 PM
Information,Shank Theatre,7:28 PM
Petty Theft,Geisel Library,6:30PM-7:10PM
Incomplete/Accidental Landline 911 Call,Tapestry on Scholars,10:16 PM
Noise Disturbance,Seventh College - East,11:11 PM
Welfare Check,Tdlln - Azad,11:11 PM
Noise Disturbance,Atlantis Hall,11:31 PM
Petty Theft,Gilman Drive,5:20PM-8:00PM
Petty Theft,Target,7:56PM-7:58PM
Noise Disturbance,Cresta On Miramar Street,12:26 AM
Suspicious Person,Catalyst On Drive North,12:26 AM
Incomplete/ Accidental Landline 911,Triton Center On Gilman Drive,12:37 AM
Suicide Attempt,Tuolumne Apartments On Scholars Lane,12:50 AM
Medical Aid,Pulse On Scholars Drive South,1:05 AM
Noise Disturbance,Podemos On Scholars Drive South,1:08 AM
Incomplete/ Accidental Landline 911,UC San Diego On Gilman Drive,1:35 AM
Citizen Flag down,Joan And Irwin Jacobs La Jolla Playhouse,1:57 AM
Incomplete/ Accidental Wireless 911,Mesa Apartments South,1:04 AM
Party Disturbance,Blake Hall On Scholars Drive South,1:32 AM
Information,Mesa Apartments Central,4:15 AM
Information,UC San Diego On Gilman Drive,8:32 AM
Incomplete/ Accidental Wireless 911,Sally T Wongavery Library On Biomedical Sciences Way,11:45 AM
Medical Aid,Regents Rd,12:08 PM
Welfare Check,Seventh College,12:20 PM
Citizen Contact,Vela On Gilman Dr,2:55 PM
Fraud,Cala On Miramar Street,2:57 PM
Theft,RIMAC,7:30 PM - 1:30 PM
Grand Theft-Micro Mobility Device,UCSD Trolley Central Campus Station,8:00 AM - 3:00 PM
Grand Theft-Micro Mobility Device,Discovery Hall,12:00 AM - 1:35 PM
Welfare Check,La Jolla Shores,3:28 PM
Welfare Check,Price Center West,3:42 PM
Ticket Sign Off,Campus Emergency Services Building On Greenhouse Lane,5:55 PM
Security Alarm,Leichtag Family Foundation Biomed Research On Gilman Dr.,7:17 PM
Illegal Parking,Parking Lot P203 On Scholars Drive South,8:36 PM
UC Policy Violation,Vela On Gilman Drive South,9:46 PM
Report Of Petty Theft- Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM
Report Of Petty Theft- Micro Mobility Device,Trolley- Central Campus Station On Innovation Lane,7:30 pm - 10:30PM
Noise Disturbance,Goldberg Apartments On Equality Lane,11:43 PM
UCSD Hillcrest,Bike Theft,11/2/2024
Noise Disturbance,Stewart Hall,12:15 AM
Citizen Assist,Pangea Drive,12:45 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,12:47 AM
Party Disturbance,Tdlln - Podemos,1:05 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:15 AM
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:31 AM
Medical Aid,Tapestry,2:39AM-3:11AM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,7:45 AM
Information,Parking Lot P506,8:31 AM
Incomplete/Accidental Wireless 911 Call,Russell Lane,8:43 AM
Grand Theft,Price Center Plaza,9:13 AM
General Disturbance,Rya,10:27 AM
Noise Disturbance,Pangea Parking,11:42 AM
Incomplete/Accidental Wireless 911 Call,Gilbert Drive,11:49 AM
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,12:35 PM
Animal Call,Birch Aquarium,12:35 PM
Suspicious Person,Muir Quad,12:39 PM
Incomplete/Accidental Landline 911 Call,John's Place and Market,1:22 PM
General Disturbance,One Miramar Street,1:48 PM
General Disturbance,Muir Field,3:48 PM
General Disturbance,Muir Field,3:52 PM
General Disturbance,Tdlln - Pulse,4:05 PM
Incomplete/Accidental Landline 911 Call,Brisa on Miramar Street,4:32 PM
Suspicious Person,Seventh College West,6:03 PM
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,6:17 PM
Incomplete/Accidental Landline 911 Call,Astilla on Miramar St,6:56 PM
Welfare Check,Vela on Gilman Drive,6:57 PM
Property Damage,Seventh College West,7:05PM-7:32PM
Incomplete/Accidental Landline 911 Call,Student Health and Wellness,8:12 PM
Incomplete/Accidental Wireless 911 Call,Parking lot P415,9:08 PM
Attempt to Contact,Blake Hall,9:55 PM
Hazard Situation,Campus Point Drive,10:22 PM
Attempt to Contact,Muir Lane,11:45 PM
Tamper with Fire Alarm,Scholars Parking,11:52PM-12:42AM
Noise Disturbance,Scholars Drive,11:53 PM
Petty Theft - Micro Mobility Device,Central Campus,8:00AM-3:00PM
Noise Disturbance,Marshall Upper Apartments J,12:11 AM
Party Disturbance,Seventh College West #3,12:19 AM
Drunk in Public,Seventh College West #3,12:32 AM
Welfare Check,Vela,12:53 AM
Welfare Check,Roots,1:01 AM
Traffic Hazard,La Jolla Village/Interstate 5 North bound,1:22 AM
Noise Disturbance,Middle East Hall,2:01 AM
Citizen Contact,Warren Lawn,3:04 AM
Noise Disturbance,Brennan Hall,4:11 AM
Trespass,Price Center East,4:38 AM
Burglary Alarm,Isaacs Hall,6:38 AM
Suspicious Vehicle,Munk House,7:00 AM
Welfare Check,Stein Clinical Research Bldg.,7:24 AM
Incomplete/Accidental Landline 911,Mosaic,7:58 AM
Reckless Driving,Regents Road,8:07 AM
Incomplete/Accidental Landline 911,Design and Innovation Building,9:55 AM
Report of Hit and Run - No Injuries,Jacobs Medical Center,10:08 AM
Injury,Scholars Drive North/Exploration,11:18 AM
Injury,Scholars Drive North/Exploration,11:24 AM
Psych Subject Disturbance,Price Center East,11:52 AM
Incomplete/Accidental Landline 911,Scholars Parking Structure,12:04 PM
Welfare Check,Pangea Parking Structure,12:19 PM
Medical Aid,Price Center West,12:21 PM
Welfare Check,Tuolumne Apartments,12:33 PM
Fire Alarm,Arena,1:21 PM
Report of Hit and Run - No Injuries,Torrey Pines Gliderport,1:30 PM
Report of Petty Theft - Micro Mobility Device,Triton Statue,7:00 PM - 8:40 PM
Triton CORE,Campus Emergency Services Building,2:51 PM
Medical Aid,Rebecca and John Moores Cancer Center,4:04 PM
Report of Petty Theft,Douglas Hall,4:38 PM
Suspicious Vehicle,Parking Lot P016,4:47 PM
Incomplete/Accidental Wireless 911,Veterans Affairs Medical Center,4:51 PM
Medical Aid,Nobel Drive,5:29 PM
Medical Aid,Lyman Lane,5:58 PM
Criminal Threat,Rya,8:19 PM
Injury,Marshall Upper Apartments G,8:59 PM
Citizen Contact,Kaleidoscope,10:25 PM
Attempt to Contact,Rita Atkinson Residences,10:38 PM
Party Disturbance,Kaleidoscope,10:52 PM
Suspicious Person,Cala,10:49 PM
Citizen Contact,Cala,11:01 PM
Report of Petty Theft - Mirco Mobility Device,Blake Hall,8:30 PM - 12:00 AM
Report of Petty Theft - Micro Mobility Device,Beagle Hall,5:00 AM - 5:40 AM
Report of Petty Theft - Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM
Medical Aid,Seventh College West,12:19 AM
Medical Aid,Brown Hall,1:08 AM
Noise Disturbance,Viento,2:22 AM
Noise Disturbance,Argo Hall,2:49 AM
Trespass,Price Center East On Matthews Lane,4:07 AM
Security Alarm,GPS On Russell Lane,6:16 AM
Incomplete/ Accidental Wireless 911,Vela On Gilman Drive,6:30 AM
False Alarm,Tenaya Hall,8:17 AM
Fraud,Cala AT Miramar Street,Unknown
Welfare Check,Tapestry On Scholars Drive North,9:20 AM
Assist Other Agency,Gilman Drive/ Russell Lane,9:39 AM
Incomplete/ Accidental Wireless 911 Call,Peterson Hall On Muir Lane,10:55 AM
Hit & Run Collision,One Miramar Street,12:38 PM
Report Of Gang Or Terrorist Threat,Student Services Center On Russell Lane,12:57PM - 14:29PM
Vandalism,Torrey Pines Center South,10:00 AM - 10:00 AM
Incomplete/ Accidental Wireless 911 Call,Medical Center Switching Station,1:22 PM
Incomplete/ Accidental Wireless 911 Call,Powell-Focht Bioengineering Hall,2:01 PM
Minor Injury Collision,Atkinson Hall On Voigt Drive,2:20 PM
Non Injury Collision,George Palade Laboratories,2:37 PM
Security Alarm,Student Health & Wellness Center,3:12 PM
Information Only,UC San Diego Campus,3:18 PM
Minor Injury Accident,Parking Lot P112,8:50 AM
Simple Assault,UCSD Alvarado Road,9:00 PM
Security Alarm,Powell-Focht Bioengineering Hall,4:15 PM
Trespass,Matthews Lane / Voigt Drive,4:25 PM
Security Alarm,Student Services Center,4:52 PM
Tampering With A Vehicle,Campus Point Parking West,3:45 PM - 5:30 PM
Citizen Flag down,Cuzco House,5:37 PM
Information,Gilman Drive/ Library Walk,5:43 PM
Medical Aid,Black's Beach On Blacks Beach Way,6:09 PM
Security Alarm,Communication Building On Exploration Drive,6:50 PM
Suspicious Person,La Jolla Del Sol Apartments,7:10 PM
Suspicious Vehicle,Pangea Parking,7:36 PM
Incomplete/ Accidental Landline 911,Catalyst On Scholars Drive North,8:12 PM
Fire Alarm,Pulse On Scholars Drive South,9:48 PM
Suspicious Person,Rita Atkinson Residences,10:00 PM
Citizen Contact,Cala At Miramar Street,10:05 PM
Incomplete/ Accidental Wireless 911,Robinson Building 2,10:12 PM
Citizen Contact,Sankofa On Scholars Drive South,10:12 PM
Alcohol Contact,Tapestry,10:26 PM
Alcohol Contact,Brennan Apartments,10:30 PM
Possession Of Marijuana,Tamarack Apartments,10:45 PM
Noise Disturbance,Charles David Keeling Apartments,11:12 PM
Noise Disturbance,Latin America Hall,11:15 PM
Party Disturbance,Seventh College West,11:27 PM
Welfare Check,Sankofa On Scholars Drive South,23:44 PM - 12:31 AM
General Disturbance,Price Center On Lyman Walk,11:57 PM
Citizen Contact,Vela At Gilman Drive,11:59 PM
Simple Assault,UCSD Medical Center - Hillcrest,5:00 PM
Information,Tapestry,12:09 AM
Injury,Pepper Canyon Apartments 400,4:58 AM
Illegal Camping,Neighborhood - SIO,6:50 AM
Information,Astilla,7:35 AM
Traffic Hazard,Downwind Way/Expedition Way,7:38 AM
Information,Parking Lot P785,8:24 AM
Non-Injury Accident,Theatre District Parking Structure,8:24 AM
Medical Aid,Shiley Eye Center,10:28 AM
Panic/Silent Alarm,ERC Administration North,10:33 AM
Medical Aid,Applied Physics and Mathematics,12:07 PM
Campus Security Authority Report (CSA),Pepper Canyon East,Unknown
Non-Injury Accident,Igpp - Munk Laboratory,1:00 PM
Citizen Contact,Campus Emergency Services Building,1:18 PM
Suspicious Person,Cognitive Sciences Building,5:16 PM
Fire Alarm,Pepper Canyon Apartments 100,5:50 PM
Psych Subject Disturbance,Trolley - La Jolla Health Station,6:08 PM
Traffic Hazard,Genesee Avenue/Campus Point Drive,6:30 PM
Report of Grand Theft - Micro Mobility Device,Club Med,2:00 PM - 7:00 PM
Report of Petty Theft - Micro Mobility Device,Target,5:00 PM - 6:45 PM
Medical Aid,George Palade Laboratories for CMMW,7:29 PM
Medical Aid,Rebecca and John Moores Cancer Center,8:12 PM
Campus Security Authority Report (CSA),W Arbor Drive,7:45 PM
Incomplete/Accidental Landline 911,Design and Innovation Building,8:21 PM
Welfare Check,Design and Innovation Building,10:09 PM
Citizen Contact,Cala,10:10 PM
Possession of Marijuana,Charles David Keeling Apartments 3,10:36 PM
Found Property,Tierra,10:58 PM
Medical Aid,Africa hall,11:13 PM
