crime_type,location,time,crime_category
Security Alarm,Leichtag Family Foundation Biomed Research,7:12 PM,Disturbance
Information,Cala,7:43 PM,Non-Emergent Call or Report
Citizen Contact,Campus Emergency Services Building,8:12 PM,Other
Welfare Check,University of Maryland,8:57 PM,Welfare
Injury,Wells Fargo Hall,9:20 PM - 9:43 PM,Welfare
Grand Theft,Applied Physics & Mathematics,6:00 PM - 6:20 PM,Theft and Damage
Incomplete/ Accidental Wireless 911,Mesa Verde Hall,10:10 PM,Non-Emergent Call or Report
Incomplete/ Accidental Landline 911 Call,Scholars Parking,10:24 PM,Non-Emergent Call or Report
Fire Alarm,UCSD Medical Center - Hillcrest,2:00 AM,Disturbance
Welfare Check,Theatre District Parking,12:51 AM,Welfare
Marijuana Contact,Rya,12:55 AM,Drugs
Noise Disturbance,Rita Atkinson Residences,1:41 AM,Disturbance
Information,Trolley - Central Campus Station,7:02 AM,Non-Emergent Call or Report
Information,Trolley - Central Campus Station,7:10 AM,Non-Emergent Call or Report
Security Alarm,Black Resources Center,8:02 AM,Disturbance
Illegal Camping,Torrey Pines Center South,8:35 AM,Disturbance
Battery - Simple Assault,Mandeville Lane/ Gilman Drive,10:50 PM - 12:00 AM,Violent
Fire Alarm,Tapestry,11:45 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,11:58 AM,Non-Emergent Call or Report
Medical Aid,Jacobs Medical Center,12:29 PM,Welfare
Welfare Check,Skaggs Pharmaceutical Science Building,1:12 PM,Welfare
Found Property,Price Center West - The Trove,1:23 PM,Theft and Damage
Citizen Contact,UCSD Police Department,1:30 PM,Other
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,2:14 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:36 PM,Non-Emergent Call or Report
Suspicious Vehicle,Parking Lot P508,2:40 PM,Disturbance
Vandalism,Theatre District Parking,12:00 PM - 8:00 AM,Theft and Damage
Vehicle Disturbance,Interstate 5 Southbound/ La Jolla Village Drive,3:42 PM,Disturbance
Welfare Check,Center Hall,4:00 PM,Welfare
Grand Theft,Mosaic,3:30 PM - 8:00 AM,Theft and Damage
Marijuana Contact,Ola Parking,4:13 PM,Drugs
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,4:25 PM,Non-Emergent Call or Report
Petty Theft,McGill Hall,1:00 PM - 1:00 PM,Theft and Damage
Smoke Check,Tapestry,5:01 PM,Welfare
Petty Theft - Micro Mobility Device,Pepper Canyon South Laundry,5:00 PM -5:30 PM,Theft and Damage
Information,Seventh College East #1,5:42 PM,Non-Emergent Call or Report
Shoplifting,Price Center West - Target,5:51 PM,Theft and Damage
Disturbance,Thurgood Marshall,6:05 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Gilman Drive,6:13 PM,Non-Emergent Call or Report
Suspicious Vehicle,Parking Lot P704,6:23 PM,Disturbance
Security Alarm,Student Services Center,6:26 PM,Disturbance
Injury,Rimac Field,7:48 PM,Welfare
Traffic Hazard,Gilman Drive/La Jolla Village Drive Ramp,8:46 PM,Traffic
Suspicious Person,Redwood Drive,9:12 PM,Disturbance
Fire Alarm,Tenaya Hall,9:56 PM,Disturbance
Grand Theft,Bates Hall - Basketball Courts,10:30 PM - 10:40 PM,Theft and Damage
Excessive Alcohol,Seventh College West #2,11:09 PM - 11:57 PM,Drugs
Noise Disturbance,Argo Hall,12:44 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Podemos,1:03 AM,Non-Emergent Call or Report
Security Alarm,Campus Curbside Pickup,6:20 AM,Disturbance
Fire Alarm,Mosaic,10:00 AM,Disturbance
Medical Aid,Koman Family Outpatient Pavilion,11:21 AM,Welfare
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,11:30 AM,Non-Emergent Call or Report
Medical Aid,Price Center East,12:09 PM,Welfare
Excessive Alcohol; Public Overintoxication,Seventh College West #1,12:33 PM,Drugs
Report of Fraud,Thurgood Marshall Res Hall Q,12:00 AM - 12:00 AM,Theft and Damage
Petty Theft,Peterson Hall,9:00 PM - 1:08 PM,Theft and Damage
Petty Theft,Scholars North Parking Structure,Unknown,Theft and Damage
Hit and Run Injury Collision,Campus Emergency Services Building,1:45 PM - 2:05 PM,Traffic
Incomplete/Accidental Landline 911 Call,3344 North Torrey Pines Court,4:25 PM,Non-Emergent Call or Report
Petty Theft,Cala,4:10 PM - 4:15 PM,Theft and Damage
Petty Theft - Micro Mobility Device,Pepper Canyon West Vela,5:30 PM - 7:30 PM,Theft and Damage
"Disturbance, Psych Subject",UCSD Residential Area,4:59 PM,Disturbance
Fire Alarm,Pulse,5:01 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Douglas Hall,5:28 PM,Non-Emergent Call or Report
Security Alarm,Leichtag Family Foundation Biomedical Research,7:06 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Brisa,7:08 PM,Non-Emergent Call or Report
Welfare Check,Russel Lane,8:25 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Hall,8:47 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Mayer Hall,10:46 PM,Non-Emergent Call or Report
Noise Disturbance,Stewart Hall,11:03 PM,Disturbance
Harrassment/ Attempted Assault,UCSD Medical Center East Campus,2:30 PM,Violent
Incomplete/Accidental Landline 911 Call,Blake Hall,12:12 AM,Non-Emergent Call or Report
Welfare Check,Tuolumne Apartments,3:51 AM,Welfare
Suspicious Person,Parking Lot P406,4:41 AM,Disturbance
Suspicious Person,Design and Innovation Building,8:44 AM,Disturbance
Burglary,Engineering Building Unit II,5:31 PM - 3:26 PM,Theft and Damage
Information,Voigt Drive West,9:35 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Catalyst,10:23 AM,Non-Emergent Call or Report
Vandalism,Urey Hall,Unknown,Theft and Damage
Fire Alarm,TDLLN - Podemos,11:49 AM,Disturbance
Petty Theft - Micro Mobility Device,Peterson Hall,9:37 AM - 10:41 AM,Theft and Damage
Property Damage,University Center Lane,11:00 AM,Theft and Damage
Medical Aid,Birch Aquarium at Scripps,2:05 PM,Welfare
Gas/Water/Sewer Leak,Jacobs Hall,2:52 PM,Other
Medical Aid,Garden View Road,2:56 PM,Welfare
Information Only Report,Rita Atkinson Residences,4:49 PM - 6:04 PM,Non-Emergent Call or Report
Reckless Driving,North Torrey Pines Road/Genesee Avenue,5:11 PM,Traffic
Triton CORE,Thurgood Marshall Res Hall R,5:12 PM,Other
Lost Property,Redwood Drive,12:15 PM - 3:30 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Kaleidoscope,5:33 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Astilla,6:39 PM,Non-Emergent Call or Report
Collision with Injury,Pangea Drive /Scholars Drive North,7:21 PM,Traffic
Welfare Check,Gilman Drive/Villa La Jolla Drive (On Campus),8:15 PM,Welfare
Fire Alarm,Latin America Hall,9:18 PM,Disturbance
Noise Disturbance,Oceania Hall,10:54 PM,Disturbance
Noise Disturbance,Rya,11:28 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Vela,6:44 AM,Non-Emergent Call or Report
Security Alarm,Financial Aid Office,7:58 AM,Disturbance
Welfare Check,Target,8:39 AM,Welfare
Incomplete/Accidental Wireless 911 Call,Torrey Pines Center - North,9:27 AM,Non-Emergent Call or Report
Attempt to Contact,Catalyst,10:08 AM,Other
Information,Medical Education and Telemedicine,10:23 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Russell Walk,10:46 AM,Non-Emergent Call or Report
Information,Price Center East,12:44 PM,Non-Emergent Call or Report
Information,Price Center East,12:44 PM,Non-Emergent Call or Report
Misdemeanor Warrant Arrest/ Stay Away Order Issuance,Voigt Drive/ Pepper Canyon Drive,1:30 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,La Jolla Del Sol Apartments,1:30 PM,Non-Emergent Call or Report
Welfare Check,Cala,1:56 PM,Welfare
Welfare Check,Student Health and Wellness Center,3:13 PM,Welfare
Welfare Check,Club Med,3:24 PM,Welfare
Missing Vehicle,Athena Parking,3:54 PM,Theft and Damage
Medical Aid,Richard Street,4:35 PM,Welfare
Medical Aid,Tapestry,5:50 PM,Welfare
Citizen Assist,Regents Road/La Jolla Village Drive,5:57 PM,Other
Security Alarm,Leichtag Family Foundation,6:47 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Tdlln - Pulse,7:16 PM,Non-Emergent Call or Report
Collision w/Injury,Pangea Parking,7:39PM-8:02PM,Traffic
Fireworks Disturbance,Blacks Beach,10:40 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Black Hall,10:58 PM,Non-Emergent Call or Report
Fire Alarm,Argo Hall,12:19 AM,Disturbance
Information Only Report,North America Hall,12:20AM - 2:05 AM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Catalyst,1:21 AM,Non-Emergent Call or Report
Incomplete/ Accidental Landline 911 Call,Pulse,1:32 AM,Non-Emergent Call or Report
Trespass/Obstruct-Resist Peace Officer/ Stay Away Order Issuance,Stein Clinical Research Building,1:34 AM,Disturbance
Noise Disturbance,Street Corner Urban Market,3:49 AM,Disturbance
Welfare Check,Theatre District,6:55 AM,Welfare
Stay Away Order Issuance,Trolley- Central Campus Station,Unknown,Disturbance
Injury,Warren Field,11:38 AM,Welfare
Petty Theft,Price Center,11:35 AM,Theft and Damage
Collision with Injury,3200 Block of Voigt Drive,1:42 PM,Traffic
Fire Alarm,TDLLN - Survivance,1:53 PM,Disturbance
Petty Theft - Micro Mobility,Price Center East - Triton Statue,4:50 PM - 6:20 PM,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Blake Hall,2:05 PM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Atkinson Hall,2:13 PM,Non-Emergent Call or Report
Medical Aid,One Miramar Street,2:48 PM,Welfare
Information,Viento On Miramar Street,3:08 PM,Non-Emergent Call or Report
Petty Theft,Tapestry,1:30 PM - 2:30 PM,Theft and Damage
Animal Call,Charles David Keeling Apartments,5:10 PM,Other
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Rd/ Salk Institute Road,5:15 PM,Non-Emergent Call or Report
Security Alarm,Preuss School,6:13 PM,Disturbance
Suspicious Person,Mesa Apartments South,7:19 PM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Podemos,8:12 PM,Non-Emergent Call or Report
Injury,Catalyst,9:56 PM,Welfare
Illegal Parking,Tamarack Apartments,10:34 PM,Traffic
Alcohol Contact,Parking Lot P402,12:10 AM,Drugs
Noise Disturbance,Tapestry,12:42 AM,Disturbance
Noise Disturbance,Latin America Hall,12:53 AM,Disturbance
UC Policy Violation,Ola Parking,12:57 AM,Other
Noise Disturbance,Genesee Avenue,1:52 AM,Disturbance
Quiet Hours Contact,Frankfurter Hall,1:56 AM,Disturbance
Party Disturbance,"One Miramar Street, Building 4",2:14 AM,Disturbance
Citizen Assist,Pangea Drive,2:32 AM,Other
Excessive Alcohol/ Over intoxication in Residence,Tdlln - Survivance,3:58 AM-4:24 AM,Drugs
Stay Away Order Issuance,Viento,6:52 AM-7:37 AM,Disturbance
Shoplifting/ Stay Away Order Issuance,Price Center West - Target,9:00 AM-9:55 AM,Theft and Damage
Medical Aid,Mandeville Center,9:22 AM,Welfare
Incomplete/Accidental Wireless 911 Call,Pacific Hall,10:43 AM,Non-Emergent Call or Report
Fire,La Jolla Village Drive,10:54 AM,Disturbance
Incomplete/Accidental Landline 911 Call,The Jeannie,10:56 AM,Non-Emergent Call or Report
Hazard Situation,Ola Parking,11:23 AM,Other
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,11:48 AM,Non-Emergent Call or Report
Welfare Check,One Miramar Street,12:54 PM,Welfare
Welfare Check,Latin America Hall,1:34 PM,Welfare
Citizen Assist,La Jolla Farms Road,2:27 PM,Other
Incomplete/Accidental Landline 911 Call,Viento,2:37 PM,Non-Emergent Call or Report
Security Alarm,Leichtag Family Foundation,2:56 PM,Disturbance
Citizen Assist,Trolley - VA Medical Center Station,3:15 PM,Other
Incomplete/ Accidental Wireless 911 Call,Blake Hall,4:41 PM,Non-Emergent Call or Report
Fire,Torrey Pines Glider port,5:16 PM,Disturbance
Information,Trolley - Central Campus Station,6:13 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Tapestry,7:46 PM,Non-Emergent Call or Report
Citizen Assist,Medical Education and Telemedicine,8:00 PM,Other
Medical Aid,One Miramar Street,8:49 PM,Welfare
Alcohol Contact,Earth Hall - South,10:01 PM,Drugs
Suspicious Circumstances,Mobil Gas Station,10:16 PM,Disturbance
Medical Aid,Africa Hall,10:45 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Blake Hall,11:50 PM,Non-Emergent Call or Report
Noise Disturbance,Tuolumne Apartments - Tennis Courts,12:46 AM,Disturbance
Noise Disturbance,Gilman Parking Structure,1:07 AM,Disturbance
Non-Student; Refuse to Leave University/ Stay Away Order Issuance,Regents Road/ Health Science,1:25 AM,Disturbance
Noise Disturbance,Piedra,1:45 AM,Disturbance
Alcohol Contact,Justice Lane,2:43 AM,Drugs
Felony Warrant Arrest / Give False ID to Peace Officer,911 North Torrey Pines Road,3:10 AM,Other
Fire,Euclid Avenue/ Federal Boulevard,4:24 AM,Disturbance
Suspicious Person,Israni Biomedical Research Facility,4:27 AM,Disturbance
Medical Aid,Seventh College West,7:52 AM,Welfare
Petty Theft,Argo Hall - Bike Racks,4:00 PM - 8:00 AM,Theft and Damage
Injury,York Hall,11:46 AM,Welfare
Report Of Grand Theft,Geisel Library,09:00 AM -11:30 AM,Theft and Damage
Medical Aid,Rita Atkinson Residences,12:58 PM,Welfare
Informational Report,Villa La Jolla Drive,1:47 PM,Non-Emergent Call or Report
Petty Theft,RIMAC,7:00 PM- 11:24 AM,Theft and Damage
Brandishing A Weapon,"Wueste Road, Chula Vista, California",2:23 PM,Other
Fire Alarm,Tapestry,2:28 PM,Disturbance
Disturbance,Epstein Family Amphitheater,2:49 PM,Disturbance
Petty Theft,Geisel Library,2:00 PM - 2:50 PM,Theft and Damage
Citizen Contact,UCSD Police Department,3:27 PM,Other
Campus Security Authority Report (CSA),UCSD Medical Center - Hillcrest,3:45 PM,Non-Emergent Call or Report
Informational Report,Geisel Library On Hopkins Drive,3:17 PM,Non-Emergent Call or Report
Welfare Check,Thurgood Marshall Residence Hall,5:16 PM,Welfare
Medical Aid,Veterans Affairs Medical Center,5:31 PM,Welfare
Shoplifting,Price Center West - Target,6:11 PM - 6:15 PM,Theft and Damage
Welfare Check,"54th Street, San Diego, California",7:50 PM,Welfare
Injury,Warren Field,8:22 PM,Welfare
Mental Health Detention,UCSD Residential Area,8:29 PM,Welfare
Incomplete/ Accidental Landline 911 Call,Brisa,8:39 PM,Non-Emergent Call or Report
Welfare Check,Regents Road,9:18 PM,Welfare
Found Property,Trolley- Central Campus Station On Innovation Lane,10:18 PM,Theft and Damage
Citizen Flagdown,Trolley- Central Campus Station On Innovation Lane,10:33 PM,Other
Quiet Hours Contact,TDLLN - Pulse,10:34 PM,Disturbance
Noise Disturbance,Cala,10:48 PM,Disturbance
Incomplete/ Accidental Landline 911 Call,Tapestry,11:30 PM,Non-Emergent Call or Report
Noise Disturbance,Stewart Hall,11:31 PM,Disturbance
Medical Aid,Regents On Regents Road,11:39 PM,Welfare
Noise Disturbance,TDLLN - Pulse,11:40 PM,Disturbance
Security Alarm,La Jolla Playhouse,12:43 AM,Disturbance
Noise Disturbance,Cala,3:32 AM,Disturbance
Medical Aid,The Springs at Pacific Regents on Nobel,4:08 AM,Welfare
Mental Health Detention,Trolley - Central Campus Station,4:57 AM - 5:37 AM,Welfare
Smoke Check,Douglas Hall,5:22 AM,Welfare
Vandalism,Trolley - La Jolla Health Station,,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,8:33 AM,Non-Emergent Call or Report
Suspicious Person,Social Sciences Research Building,9:56 AM,Disturbance
Hit & Run Collision: Non Injury,Stephen Birch Aquarium,10:30 AM - 12:30 PM,Traffic
Injury,Catalyst,11:01 AM,Welfare
Hit & Run Collision: Non Injury,Lot 760,10:00 AM - 11:39 AM,Traffic
Information,Torrey Pines Lane/Torrey Pines Road,12:11 PM,Non-Emergent Call or Report
Suspicious Person,South Mesa Apartments,12:25 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,1:25 PM,Non-Emergent Call or Report
Information,Seventh College East #5,2:20 PM,Non-Emergent Call or Report
Welfare Check,Torrey Pines Gliderport,2:25 PM,Welfare
Excessive Alcohol: Public Over intoxication,Rimac,2:25 PM,Drugs
Ticket Sign Off,UCSD Police Department,3:47 PM,Traffic
Incomplete/Accidental Landline 911 Call,Capa,4:01 PM,Non-Emergent Call or Report
Injury,York Hall,4:38 PM,Welfare
Injury,Structural and Material Engineering Bldg.,4:38 PM,Welfare
Medical Aid,Seventh College West #2,4:44 PM,Welfare
Hit & Run Collision: Non Injury,Parking Lot P703,5:32 PM,Traffic
Report of Battery,Nobel Drive/Regents Road,5:40 PM,Violent
Welfare Check,Catalyst,5:51 PM,Welfare
Fire Alarm,Azad,5:59 PM,Disturbance
Fire Alarm,Survivance,6:49 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Viento,8:09 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Tapestry,8:18 PM,Non-Emergent Call or Report
Triton CORE,Rita Atkinson Residences,8:56 PM,Other
Incomplete/Accidental Landline 911 Call,Mosaic,10:16 PM,Non-Emergent Call or Report
Disturbance - Party,Genesee Avenue,10:19 PM,Disturbance
Citizen Contact,Rita Atkinson Residences,10:23 PM,Other
Alcohol Contact,Geneva Hall,11:16 PM,Drugs
Trespass,Pepper Canyon Hall,11:56 PM,Disturbance
Reckless Driving,Pangea Parking Structure,11:56 PM,Traffic
Threat,UCSD Hillcrest,7:23 PM,Violent
Quiet Hours Contact,Tdlln - Pulse,12:00 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Poole St,12:05 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Scholars Parking,12:33 AM,Non-Emergent Call or Report
Noise Disturbance,Gilman Parking,12:54 AM,Disturbance
Noise Disturbance,Earth Hall,1:08 AM,Disturbance
Suspicious Person,Street Corner Urban Market,1:16 AM,Disturbance
Welfare Check,Trolley - La Jolla Health Station,7:13 AM,Welfare
Citizen Contact,UCSD Police Department,8:25 AM,Other
Petty Theft - Micro Mobility Device,Europe Hall,8:10AM-8:10AM,Theft and Damage
Welfare Check,Design and Innovation Building,8:38 AM,Welfare
Petty Theft,School of Medicine,4:00PM-9:00AM,Theft and Damage
Information,Preuss School,10:05 AM,Non-Emergent Call or Report
Found Property,School of Medicine,10:10AM,Theft and Damage
Non-Injury Collision,Veterans Affairs Medical Center,10:55 AM,Traffic
Welfare Check,South Parking Structure,12:25 PM,Welfare
Incomplete/Accidental Landline 911 Call,Scholars Drive - North,12:44 PM,Non-Emergent Call or Report
Unknown Trouble,Rita Atkinson Residences,12:55 PM,Other
Information,Geisel Library,1:30 PM,Non-Emergent Call or Report
Shoplifting/ Simple Battery/ Stay Away Order Issuance,Flavorful,1:52 PM,Theft and Damage
Property Damage,Athena Parking,3:00PM-12:00AM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,3:18 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Scholars Parking,4:57 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Mosaic,5:16 PM,Non-Emergent Call or Report
Information,Belmont Senior Village,6:50 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Nobel Drive,7:04 PM,Non-Emergent Call or Report
Disturbance - Vehicle,Porton,9:23 PM,Disturbance
Trespass,Burger King,11:25 PM,Disturbance
Noise Disturbance,Argo Hall,11:52 PM,Disturbance
Assist Other Agency,UCSD Hillcrest Hospital,12:55 AM,Other
Quiet Hours Contact,Muir Tennis Courts,1:24 AM,Disturbance
Citizen Assist,Porton,3:50 AM,Other
Noise Disturbance,Pulse,4:05 AM,Disturbance
Welfare Check,Marea,4:23 AM,Welfare
Vandalism,Stein Clinical Research Building,Unknown,Theft and Damage
Unknown Injury Collision,Mobil Station,8:29 AM,Traffic
Medical Aid,Argo Hall,10:16 AM,Welfare
Incomplete/Accidental Landline 911 Call,Catalyst,11:49 AM,Non-Emergent Call or Report
Noise Disturbance,Artesa,1:25 PM,Disturbance
Preserve the Peace,South Mesa Apartments,1:41 PM,Other
Suspicious Person,Torrey Pines Center South,3:20 PM,Disturbance
Injury,Latin America Hall,4:45 PM,Welfare
Citizen Contact,UCSD Police Department,4:55 PM,Other
Injury,Black Gold Road,5:31 PM,Welfare
Report of Grand Theft,Computer Science and Engineering Building,3:40 PM,Theft and Damage
Missing Person,UCSD Residential Area,6:00 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Seventh College West #3,6:22 PM,Non-Emergent Call or Report
Security Alarm,Leichtag Biomedical Bldg.,6:58 PM,Disturbance
Citizen Assist,TDLLN - Podemos,9:31 PM,Other
Noise Disturbance,Gilman Parking Structure,9:33 PM,Disturbance
Noise Disturbance,Middle East Hall,11:45 PM,Disturbance
Marijuana Contact,Marshall Upper Apartments K,11:53 PM,Drugs
Petty Theft - Bicycle,Catalyst,2:00 PM,Theft and Damage
Fire Alarm,Podemos,12:01 AM,Disturbance
Property Damage,Parking Lot P418,Unknown,Theft and Damage
Quiet Hours Contact,Pulse - Basketball Courts,12:30 AM,Disturbance
Quiet Hours Contact,Brisa,2:49 AM,Disturbance
Petty Theft Report -Micro Mobility Device,Beagle Hall,3:00 PM - 2:00 PM,Theft and Damage
Security Alarm,Biomedical Sciences Building,11:09 AM,Disturbance
Lost Property,Downtown San Diego,12:12 PM,Theft and Damage
Minor Injury Collision,North Torrey Pines Road,3:39 PM,Traffic
Suspicious Person,Target- PC West,5:33 PM,Disturbance
Fire Alarm,Tapestry On Scholars Drive North,6:33 PM,Disturbance
Fire Alarm,Kaleidoscope,6:35 PM,Disturbance
Medical Aid,Trolley-Central Campus Station,6:47 PM,Welfare
Illegal Camping,Urban Market,7:18 PM,Disturbance
Medical Aid,South Pacific Street,8:24 PM,Welfare
Incomplete/ Accidental Landline 911 Call,Kaleidoscope,8:27 PM,Non-Emergent Call or Report
Fire Alarm,Europe Hall,8:54 PM,Disturbance
Suspicious Person,Tamarack Ave,9:03 PM,Disturbance
Disturbance - Party,Cuzco House,9:35 PM,Disturbance
Illegal Parking,SIO,9:45 PM,Traffic
UC Policy Violation,Thurgood Marshall Residence Hall,10:28 PM,Other
Suspicious Vehicle,Visual Arts Facility,10:36 PM,Disturbance
Marijuana Contact,Tapestry,10:54 PM,Drugs
Drunk In Public / False Identification,Seventh College East,11:20 PM,Drugs
Disturbance - Party,Viento on Miramar Street,12:15 AM,Disturbance
Welfare Check,Pepper Canyon Apartments,12:23 AM,Welfare
Party Disturbance,Latin America Hall,12:53 AM,Disturbance
Noise Disturbance,Tapestry on Scholars,1:47 AM,Disturbance
Fire Alarm,Oceanview Terrace,1:51 AM,Disturbance
Information/ Found Property Report,Oceanview Terrace,2:01AM-2:28AM,Theft and Damage
Welfare Check,Trolley - La Jolla Health Station,2:40AM-3:30AM,Welfare
Security Alarm,Central Utilities Building Telecom,5:39 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Douglas Apartments,8:36 AM,Non-Emergent Call or Report
Mental Health Detention,UCSD Residential Area,9:48 AM,Welfare
Disturbance,Interstate 5,9:51 AM,Disturbance
Medical Aid,Robinson Building 2,10:55AM,Welfare
Disturbance,UC San Diego Health Urgent Care,12:06 PM,Disturbance
Missing Person,Mesa Apartments - South,1:19 PM,Welfare
Vandalism,Bonner Hall,7:00PM-2:00PM,Theft and Damage
Petty Theft,La Jolla Del Sol Apartments,9:00PM-10:00AM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Viento on Miramar Street,4:15 PM,Non-Emergent Call or Report
Welfare Check,Seventh College,4:21 PM,Welfare
Welfare Check,Trolley - La Jolla Health Station,4:24 PM,Welfare
Incomplete/Accidental Landline 911 Call,Tapestry on Scholars,4:27 PM,Non-Emergent Call or Report
Information,Foodworx on Innovation Lane,6:33 PM,Non-Emergent Call or Report
Welfare Check,La Jolla Family House,7:33 PM,Welfare
Chemical Spill,Rimac,8:22 PM,Other
Fire Alarm,North America Hall,9:17 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Viento on Miramar Street,9:34 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Piedra on Miramar Street,9:38 PM,Non-Emergent Call or Report
Medical Aid,Holiday Court,11:44 PM,Welfare
Medical Aid,Tuolumne Apartments,12:28 AM,Welfare
Medical Aid,Keeneland Row,2:33 AM,Welfare
Suspicious Person,Villa La Jolla Drive,8:13 AM,Disturbance
Found Property,Library Walk,9:04 AM,Theft and Damage
Information,UCSD Police Department,9:05 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Douglas Apartments,9:32 AM,Non-Emergent Call or Report
Collision with Injury,Matthews Maintenance & Lounge,10:45 AM,Traffic
Hit & Run Collision: Non Injury,North Torrey Pines Road,11:35 AM,Traffic
Property Damage,Hubbs Hall,2:45 PM - 6:00 PM,Theft and Damage
Welfare Check,Villa La Jolla Drive,11:52 AM,Welfare
Incomplete/Accidental Landline 911 Call,The Jeannie,11:54 AM,Non-Emergent Call or Report
Property Damage,Trolley - Central Campus Station,12:00 PM - 12:05 PM,Theft and Damage
Violation of Parole Arrest/ Stay Away Order Issuance,Design & Innovation Building,12:14 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Holiday Court,1:12 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Kaleidoscope,1:14 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Russell Walk/Lyman Walk,1:16 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,1:23 PM,Non-Emergent Call or Report
Vandalism,Gilman Drive/Genesee Avenue,Unknown,Theft and Damage
Vehicle Burglary,Parking Lot P752,11:08 AM - 1:42 PM,Theft and Damage
Hazard Situation,Structural & Material Engineering Building,2:07 PM,Other
Illegal Parking,Structural & Material Engineering Building,2:27 PM,Traffic
Medical Aid,Rebecca and John Moores Cancer Center,2:59 PM,Welfare
Welfare Check,Trolley - Central Campus Station,3:00 PM,Welfare
Welfare Check,Luneta Drive,3:25 PM,Welfare
Grand Theft - Micro Mobility Device,La Jolla Village Drive,3:28 AM - 2:32 PM,Theft and Damage
Vandalism,TDLLN - Pulse,4:07 PM,Theft and Damage
Medical Aid,Rebecca and John Moores Cancer Center,4:11 PM,Welfare
Hit & Run Collision: Non Injury,Athena Parking,7:20 AM - 6:00 PM,Traffic
Medical Aid,F Street,4:38 PM,Welfare
Incomplete/Accidental Landline 911 Call,Kaleidoscope,5:56 PM,Non-Emergent Call or Report
Welfare Check,Jacobs Medical Center,9:02 PM,Welfare
Noise Disturbance,Artesa,10:46 PM,Disturbance
Medical Aid,Scripps Memorial Hospital,10:55 PM,Welfare
Welfare Check,Main Gymnasium,11:05 PM,Welfare
Incomplete/Accidental Landline 911 Call,Mosaic,11:13 PM,Non-Emergent Call or Report
Verbal Threats,UCSD Medical Center - East Campus,11:10 PM,Violent
Assault,UCSD Medical Center - Hillcrest,11:10 AM,Violent
Theft,Jacobs Medical Center,3:16 PM,Theft and Damage
Noise Disturbance,Seventh College - West,12:00 AM,Disturbance
Psych Disturbance,Villa La Jolla Drive,1:15AM-1:25AM,Disturbance
Noise Disturbance,Cresta on Miramar St,4:05 AM,Disturbance
